customer_id,service_type,Hora_Llegada,Hora_Atencion,Hora_Salida,Tiempo_Servicio,Tiempo_Entre_Llegadas
1,Cajas generales,09:00,09:00,09:10,00:10,0
2,Atención al cliente,09:04,09:04,09:12,00:08,4
3,Atención al cliente,09:05,09:05,09:16,00:11,1
4,Cajas generales,09:05,09:05,09:13,00:08,0
5,Cajas generales,09:06,09:06,09:11,00:05,1
6,Atención al cliente,09:06,09:06,09:11,00:05,0
7,Cajas generales,09:09,09:09,09:15,00:06,3
8,Cajas generales,09:10,09:10,09:15,00:05,1
9,Cajas generales,09:15,09:15,09:19,00:04,5
10,Cajero automático,09:16,09:16,09:19,00:03,1
11,Cajas generales,09:17,09:17,09:24,00:07,1
12,Cajero automático,09:19,09:19,09:21,00:02,2
13,Cajas generales,09:20,09:20,09:29,00:09,1
14,Cajas generales,09:23,09:23,09:37,00:14,3
15,Cajas generales,09:25,09:25,09:30,00:05,2
16,Cajero automático,09:28,09:28,09:41,00:13,3
17,Cajas generales,09:29,09:29,09:40,00:11,1
18,Cajas generales,09:31,09:31,09:35,00:04,2
19,Atención al cliente,09:32,09:32,09:36,00:04,1
20,Cajas generales,09:33,09:33,09:37,00:04,1
21,Atención al cliente,09:41,09:41,09:51,00:10,8
22,Cajas generales,09:43,09:43,09:55,00:12,2
23,Cajas generales,09:45,09:45,09:50,00:05,2
24,Cajas generales,09:47,09:47,09:50,00:03,2
25,Cajero automático,09:47,09:47,09:53,00:06,0
26,Cajas generales,09:47,09:47,09:50,00:03,0
27,Caja preferencial,09:48,09:48,10:00,00:12,1
28,Cajas generales,09:54,09:54,09:57,00:03,6
29,Cajas generales,10:10,10:10,10:17,00:07,16
30,Cajas generales,10:11,10:11,10:15,00:04,1
31,Cajero automático,10:14,10:14,10:24,00:10,3
32,Atención al cliente,10:20,10:20,10:25,00:05,6
33,Cajas generales,10:20,10:20,10:23,00:03,0
34,Atención al cliente,10:22,10:22,10:24,00:02,2
35,Cajero automático,10:25,10:25,10:28,00:03,3
36,Cajas generales,10:26,10:26,10:35,00:09,1
