customer_id,service_type,Hora_Llegada,Hora_Atencion,Hora_Salida,Tiempo_Servicio,Tiempo_Entre_Llegadas
1,Cajas generales,09:00:00,09:00:00,09:08:00,8,0.0
2,Cajas generales,09:00:17,09:00:17,09:06:17,6,0.29
3,Cajero automático,09:00:46,09:00:46,09:08:46,8,0.48
4,Cajero automático,09:01:04,09:01:04,09:14:04,13,0.3
5,Caja preferencial,09:03:51,09:03:51,09:12:51,9,2.79
6,Cajas generales,09:12:06,09:12:06,09:23:06,11,8.24
7,Cajero automático,09:17:05,09:17:05,09:21:05,4,4.99
8,Cajas generales,09:18:36,09:18:36,09:29:36,11,1.51
9,Caja preferencial,09:19:27,09:19:27,09:24:27,5,0.86
10,Caja preferencial,09:22:33,09:22:33,09:32:33,10,3.1
11,Atención al cliente,09:28:09,09:28:09,09:31:09,3,5.59
12,Cajero automático,09:28:14,09:28:14,09:43:14,15,0.09
13,Cajas generales,09:29:00,09:29:00,09:31:00,2,0.77
14,Cajero automático,09:33:57,09:33:57,09:39:57,6,4.94
15,Cajas generales,09:35:43,09:35:43,09:44:43,9,1.77
16,Cajas generales,09:45:59,09:45:59,09:52:59,7,10.27
17,Cajero automático,09:46:12,09:46:12,09:52:12,6,0.22
18,Atención al cliente,09:46:50,09:46:50,09:50:50,4,0.63
19,Cajero automático,09:47:02,09:47:02,10:00:02,13,0.2
20,Cajas generales,09:49:30,09:49:30,10:02:30,13,2.46
21,Cajas generales,09:49:39,09:49:39,09:55:39,6,0.15
22,Atención al cliente,09:51:51,09:51:51,09:55:51,4,2.2
23,Atención al cliente,09:53:48,09:53:48,10:02:48,9,1.96
24,Atención al cliente,09:58:33,09:58:33,10:04:33,6,4.75
25,Atención al cliente,10:05:16,10:05:16,10:17:16,12,6.72
26,Caja preferencial,10:06:28,10:06:28,10:09:28,3,1.2
27,Cajas generales,10:07:18,10:07:18,10:16:18,9,0.82
28,Cajero automático,10:09:48,10:09:48,10:17:48,8,2.5
29,Cajas generales,10:10:22,10:10:22,10:12:22,2,0.57
30,Cajero automático,10:11:17,10:11:17,10:18:17,7,0.92
31,Cajero automático,10:12:28,10:12:28,10:17:28,5,1.19
32,Cajas generales,10:13:17,10:13:17,10:24:17,11,0.81
33,Atención al cliente,10:14:25,10:14:25,10:17:25,3,1.13
34,Cajas generales,10:16:22,10:16:22,10:20:22,4,1.95
35,Cajas generales,10:16:59,10:16:59,10:21:59,5,0.62
36,Cajas generales,10:17:55,10:17:55,10:26:55,9,0.93
37,Cajas generales,10:19:07,10:19:07,10:24:07,5,1.21
38,Caja preferencial,10:21:34,10:21:34,10:30:34,9,2.45
39,Cajero automático,10:27:30,10:27:30,10:36:30,9,5.93
40,Atención al cliente,10:30:37,10:30:37,10:44:37,14,3.11
41,Cajero automático,10:35:31,10:35:31,10:49:31,14,4.9
42,Cajero automático,10:37:04,10:37:04,10:52:04,15,1.55
43,Cajero automático,10:37:56,10:37:56,10:46:56,9,0.87
44,Cajas generales,10:38:29,10:38:29,10:50:29,12,0.55
45,Cajero automático,10:43:18,10:43:18,10:45:18,2,4.81
46,Cajas generales,10:43:21,10:43:21,10:51:21,8,0.05
47,Cajero automático,10:47:14,10:47:14,10:49:14,2,3.89
48,Cajas generales,10:47:25,10:47:25,10:49:25,2,0.18
49,Caja preferencial,10:48:03,10:48:03,10:58:03,10,0.64
50,Cajas generales,10:53:19,10:53:19,10:59:19,6,5.26
51,Cajas generales,10:55:44,10:55:44,11:01:44,6,2.42
52,Atención al cliente,11:01:45,11:01:45,11:16:45,15,6.02
53,Cajas generales,11:03:33,11:03:33,11:18:33,15,1.8
54,Cajas generales,11:04:52,11:04:52,11:06:52,2,1.32
55,Cajas generales,11:06:14,11:06:14,11:12:14,6,1.36
56,Cajas generales,11:07:48,11:07:48,11:17:48,10,1.56
57,Cajas generales,11:13:47,11:13:47,11:19:47,6,5.99
58,Cajas generales,11:16:11,11:16:11,11:21:11,5,2.4
59,Caja preferencial,11:17:03,11:17:03,11:21:03,4,0.86
60,Cajas generales,11:17:33,11:17:33,11:26:33,9,0.51
61,Atención al cliente,11:19:59,11:19:59,11:27:59,8,2.43
62,Caja preferencial,11:21:37,11:21:37,11:24:37,3,1.63
63,Cajas generales,11:23:40,11:23:40,11:37:40,14,2.06
64,Cajero automático,11:27:19,11:27:19,11:30:19,3,3.65
65,Cajas generales,11:27:36,11:27:36,11:36:36,9,0.28
66,Cajas generales,11:28:25,11:28:25,11:36:25,8,0.81
67,Cajas generales,11:29:09,11:29:09,11:35:09,6,0.74
68,Cajas generales,11:30:52,11:30:52,11:35:52,5,1.72
69,Cajas generales,11:34:42,11:34:42,11:46:42,12,3.83
70,Cajas generales,11:39:48,11:39:48,11:46:48,7,5.09
71,Cajas generales,11:43:08,11:43:08,11:45:08,2,3.34
72,Atención al cliente,11:44:37,11:44:37,11:51:37,7,1.48
73,Cajas generales,11:47:10,11:47:10,11:58:10,11,2.56
74,Cajas generales,11:47:43,11:47:43,12:01:43,14,0.54
75,Cajas generales,11:48:18,11:48:18,11:57:18,9,0.58
76,Cajas generales,11:52:22,11:52:22,12:05:22,13,4.08
77,Cajas generales,11:54:28,11:54:28,12:07:28,13,2.09
78,Cajas generales,11:54:29,11:54:29,12:00:29,6,0.02
79,Cajero automático,11:54:45,11:54:45,11:59:45,5,0.27
80,Cajero automático,11:55:57,11:55:57,11:59:57,4,1.2
81,Cajas generales,11:57:37,11:57:37,12:04:37,7,1.67
82,Cajas generales,12:02:22,12:02:22,12:14:22,12,4.75
83,Cajas generales,12:02:42,12:02:42,12:09:42,7,0.33
84,Cajas generales,12:10:27,12:10:27,12:24:27,14,7.74
85,Cajas generales,12:12:21,12:12:21,12:19:21,7,1.9
86,Cajas generales,12:18:27,12:18:27,12:32:27,14,6.1
87,Cajero automático,12:18:40,12:18:40,12:29:40,11,0.23
88,Atención al cliente,12:21:30,12:21:30,12:30:30,9,2.83
89,Atención al cliente,12:22:30,12:22:30,12:29:30,7,1.0
90,Caja preferencial,12:23:12,12:23:12,12:31:12,8,0.7
91,Atención al cliente,12:26:40,12:26:40,12:35:40,9,3.47
92,Cajero automático,12:27:01,12:27:01,12:30:01,3,0.35
93,Cajas generales,12:30:09,12:30:09,12:35:09,5,3.13
94,Cajas generales,12:41:40,12:41:40,12:43:40,2,11.52
95,Cajas generales,12:42:25,12:42:25,12:45:25,3,0.75
96,Cajas generales,12:44:12,12:44:12,12:55:12,11,1.78
97,Cajas generales,12:49:16,12:49:16,12:59:16,10,5.07
98,Caja preferencial,12:52:22,12:52:22,13:07:22,15,3.09
99,Cajas generales,12:53:28,12:53:28,12:58:28,5,1.11
100,Cajas generales,12:58:17,12:58:17,13:10:17,12,4.81
101,Cajas generales,12:59:02,12:59:02,13:07:02,8,0.75
102,Atención al cliente,13:05:01,13:05:01,13:07:01,2,5.98
103,Cajero automático,13:07:16,13:07:16,13:12:16,5,2.25
104,Cajas generales,13:07:30,13:07:30,13:10:30,3,0.23
105,Atención al cliente,13:08:42,13:08:42,13:14:42,6,1.21
106,Cajas generales,13:10:26,13:10:26,13:23:26,13,1.73
107,Cajas generales,13:10:45,13:10:45,13:20:45,10,0.32
108,Atención al cliente,13:12:02,13:12:02,13:15:02,3,1.28
109,Atención al cliente,13:13:46,13:13:46,13:22:46,9,1.73
110,Cajas generales,13:16:11,13:16:11,13:25:11,9,2.42
111,Cajas generales,13:23:55,13:23:55,13:38:55,15,7.74
112,Cajas generales,13:24:11,13:24:11,13:39:11,15,0.26
113,Cajero automático,13:27:24,13:27:24,13:31:24,4,3.22
114,Cajas generales,13:31:35,13:31:35,13:41:35,10,4.18
115,Cajas generales,13:33:45,13:33:45,13:40:45,7,2.17
116,Cajas generales,13:34:09,13:34:09,13:44:09,10,0.39
117,Cajas generales,13:39:16,13:39:16,13:51:16,12,5.13
118,Atención al cliente,13:40:55,13:40:55,13:53:55,13,1.64
119,Cajas generales,13:43:54,13:43:54,13:51:54,8,2.98
120,Cajas generales,13:45:09,13:45:09,13:52:09,7,1.26
121,Cajas generales,13:58:26,13:58:26,14:07:26,9,13.28
122,Cajero automático,13:59:56,13:59:56,14:07:56,8,1.5
123,Cajas generales,13:59:57,13:59:57,14:13:57,14,0.01
124,Cajas generales,14:00:44,14:00:44,14:06:44,6,0.79
125,Caja preferencial,14:00:54,14:00:54,14:08:54,8,0.17
126,Cajas generales,14:02:28,14:02:28,14:08:28,6,1.56
